TITLE = "Artificial-viscosity beta sweep metrics"
VARIABLES = "beta", "L1", "L2", "Linf", "TV", "undershoot", "overshoot"
ZONE T="rho", I=6, F=POINT
0.000000000000000e+00 1.897108307476788e-02 6.586394048312062e-02 6.680678816337711e-01 6.445451825800000e+00 2.537514983662289e-01 2.455889555875490e-01
2.500000000000000e-01 2.112875904661635e-02 1.032191079870867e-01 8.040673094124511e-01 2.289348109400000e+00 1.950719126622891e-02 1.332976221875490e-01
5.000000000000000e-01 2.643394892346120e-02 1.175738194696977e-01 8.040826477124511e-01 2.050635607800000e+00 3.566140662288886e-04 8.360090618754890e-02
7.500000000000000e-01 2.901915601326757e-02 1.226044617093939e-01 8.040822884124511e-01 1.978440560100001e+00 0.000000000000000e+00 5.594027138754898e-02
1.000000000000000e+00 3.000772742632210e-02 1.235187559195832e-01 8.040785905124510e-01 1.956207968400000e+00 0.000000000000000e+00 4.612323618754899e-02
1.500000000000000e+00 3.069807049367237e-02 1.224127665082386e-01 8.040461857124510e-01 1.946595188500000e+00 0.000000000000000e+00 4.158040238754901e-02
ZONE T="u", I=6, F=POINT
0.000000000000000e+00 1.159480169298592e-02 4.482233849400048e-02 6.297046284063550e-01 6.273398578499999e+00 0.000000000000000e+00 2.888024867936450e-01
2.500000000000000e-01 2.527374948738444e-02 1.635771076398162e-01 1.528679463106355e+00 2.802356697300000e+00 0.000000000000000e+00 1.275714829936450e-01
5.000000000000000e-01 3.426099810231091e-02 1.947167373509311e-01 1.528718254106355e+00 2.512966483900000e+00 0.000000000000000e+00 5.293294389364500e-02
7.500000000000000e-01 3.855963893420625e-02 2.057303230480491e-01 1.528717345506355e+00 2.405774620700000e+00 0.000000000000000e+00 1.219601189364505e-02
1.000000000000000e+00 4.015280562108240e-02 2.076610441087271e-01 1.528707993706355e+00 2.371091333700000e+00 0.000000000000000e+00 0.000000000000000e+00
1.500000000000000e+00 4.083815203741563e-02 2.044690363939603e-01 1.528626037806355e+00 2.353456358500000e+00 0.000000000000000e+00 0.000000000000000e+00
ZONE T="p", I=6, F=POINT
0.000000000000000e+00 1.913101408313088e-02 8.161445368336148e-02 1.066941386042420e+00 1.038952929990000e+01 0.000000000000000e+00 0.000000000000000e+00
2.500000000000000e-01 3.262389214613678e-02 2.092532803198226e-01 1.895070371642420e+00 3.903036317700000e+00 0.000000000000000e+00 0.000000000000000e+00
5.000000000000000e-01 4.336474502712132e-02 2.474132877505019e-01 1.895094896542420e+00 3.304003863500000e+00 0.000000000000000e+00 0.000000000000000e+00
7.500000000000000e-01 4.877422166398144e-02 2.614121011502362e-01 1.895094322142420e+00 3.081817261500001e+00 0.000000000000000e+00 0.000000000000000e+00
1.000000000000000e+00 5.071899631221179e-02 2.643185204696256e-01 1.895088409642420e+00 3.010668725500001e+00 0.000000000000000e+00 0.000000000000000e+00
1.500000000000000e+00 5.165161627106937e-02 2.615322753609628e-01 1.895036593342420e+00 2.976240511700000e+00 0.000000000000000e+00 0.000000000000000e+00
