x,u
0.879699,1.000000
0.882206,1.000000
0.884712,1.000000
0.887218,1.000000
0.889724,1.000000
0.892231,1.000000
0.894737,1.000000
0.897243,1.000000
0.899749,1.000000
0.902256,1.000000
0.904762,1.000000
0.907268,1.000000
0.909774,1.000000
0.912281,1.000000
0.914787,1.000000
0.917293,1.000000
0.919799,1.000000
0.922306,1.000000
0.924812,1.000000
0.927318,1.000000
0.929825,1.000000
0.932331,1.000000
0.934837,1.000000
0.937343,1.000000
0.939850,1.000000
0.942356,1.000000
0.944862,1.000000
0.947368,1.000000
0.949875,1.000000
0.952381,1.000000
0.954887,1.000000
0.957393,1.000000
0.959900,1.000000
0.962406,1.000000
0.964912,1.000000
0.967419,1.000000
0.969925,1.000000
0.972431,1.000000
0.974937,1.000000
0.977444,1.000000
0.979950,1.000000
0.982456,1.000000
0.984962,1.000000
0.987469,1.000000
0.989975,1.000000
0.992481,1.000000
0.994987,1.000000
0.997494,1.000000
1.000000,1.000000
