beta,status,reason,solution_time,variable,L1,L2,Linf,TV,undershoot,overshoot
0.5,completed,completed,0.2,rho,0.004117286450549923,0.016267063374341185,0.14050095441929,0.9077182586000001,0.0,0.0
0.5,completed,completed,0.2,u,0.011603879024815444,0.08886584927178441,0.9268365039092029,2.0000564623999995,0.0,0.058207086690796994
0.5,completed,completed,0.2,p,0.0035805551136968193,0.02035825436345585,0.2030486412930504,0.9518601709999998,0.0,0.0
0.75,completed,completed,0.2,rho,0.004599238396551164,0.017301642526744654,0.14052110171929,0.8901549712,0.0,0.0
0.75,completed,completed,0.2,u,0.013311289955150823,0.09571396946835552,0.927007116809203,1.9199219384000001,0.0,0.028752006790797036
0.75,completed,completed,0.2,p,0.004061621398284452,0.021942661303048026,0.2030712247930504,0.9240706620000002,0.0,0.0
1.0,completed,completed,0.2,rho,0.0049063136420297426,0.017685892839011053,0.14049990711929,0.8833731748000001,0.0,0.0
1.0,completed,completed,0.2,u,0.013959605395152357,0.09746014707116647,0.926827625009203,1.8879989867999998,0.0,0.015097422790797066
1.0,completed,completed,0.2,p,0.004333806824451354,0.022448971337715805,0.20304746739305038,0.9131504172000002,0.0,0.0
1.5,completed,completed,0.2,rho,0.005286208837945915,0.01766629322189003,0.14034726871929,0.8773635482,0.0,0.0
1.5,completed,completed,0.2,u,0.014090460160390703,0.09495376719880914,0.925534950909203,1.8597872324000004,0.0,0.0018520779907970075
1.5,completed,completed,0.2,p,0.004633954512666562,0.02218824607636608,0.20287623179305037,0.9036075972,0.0,0.0
