TITLE = "Error versus beta grouped by sensor"
VARIABLES = "beta", "rho_L1", "rho_L2", "rho_Linf", "u_L1", "u_L2", "u_Linf", "p_L1", "p_L2", "p_Linf"
ZONE T="rho", I=5, F=POINT
2.500000000000000e-01 2.112875904661635e-02 1.032191079870867e-01 8.040673094124511e-01 2.527374948738444e-02 1.635771076398162e-01 1.528679463106355e+00 3.262389214613678e-02 2.092532803198226e-01 1.895070371642420e+00
5.000000000000000e-01 2.643394892346120e-02 1.175738194696977e-01 8.040826477124511e-01 3.426099810231091e-02 1.947167373509311e-01 1.528718254106355e+00 4.336474502712132e-02 2.474132877505019e-01 1.895094896542420e+00
7.500000000000000e-01 2.901915601326757e-02 1.226044617093939e-01 8.040822884124511e-01 3.855963893420625e-02 2.057303230480491e-01 1.528717345506355e+00 4.877422166398144e-02 2.614121011502362e-01 1.895094322142420e+00
1.000000000000000e+00 3.000772742632210e-02 1.235187559195832e-01 8.040785905124510e-01 4.015280562108240e-02 2.076610441087271e-01 1.528707993706355e+00 5.071899631221179e-02 2.643185204696256e-01 1.895088409642420e+00
1.500000000000000e+00 3.069807049367237e-02 1.224127665082386e-01 8.040461857124510e-01 4.083815203741563e-02 2.044690363939603e-01 1.528626037806355e+00 5.165161627106937e-02 2.615322753609628e-01 1.895036593342420e+00
ZONE T="u", I=5, F=POINT
2.500000000000000e-01 2.453780287931107e-02 1.114208067036617e-01 8.040830462124511e-01 2.997172241655090e-02 1.834283957163164e-01 1.528719261906355e+00 3.848983463726605e-02 2.332268319229464e-01 1.895095533642420e+00
5.000000000000000e-01 3.116511685326024e-02 1.299433407154051e-01 8.040844874124511e-01 4.201656046552831e-02 2.216452646397253e-01 1.528722906606355e+00 5.301952650107823e-02 2.801609862165809e-01 1.895097837942420e+00
7.500000000000000e-01 3.478043490467068e-02 1.377809646851047e-01 8.040844886124511e-01 4.844968887669022e-02 2.379770495151142e-01 1.528722909606355e+00 6.095818644683905e-02 3.007208681595364e-01 1.895097839842420e+00
1.000000000000000e+00 3.572158011284165e-02 1.398215790484550e-01 8.040843816124511e-01 5.072903551688220e-02 2.420140933301506e-01 1.528722638906355e+00 6.374904943892386e-02 3.061508887714925e-01 1.895097668742420e+00
1.500000000000000e+00 3.613863602193178e-02 1.399598816954406e-01 8.040829142124510e-01 5.189535014448220e-02 2.414310310700788e-01 1.528718928006355e+00 6.532237060449354e-02 3.062729306215141e-01 1.895095322542420e+00
ZONE T="p", I=5, F=POINT
2.500000000000000e-01 2.070486502064129e-02 9.692438296124722e-02 8.039960811124510e-01 2.267058885345089e-02 1.516390259193451e-01 1.528499282006355e+00 2.953780314569637e-02 1.950732047963098e-01 1.894956445442420e+00
5.000000000000000e-01 2.534029873405519e-02 1.105327270827463e-01 8.040699491124510e-01 3.077554483147768e-02 1.809542250347341e-01 1.528686139406355e+00 3.910262842279953e-02 2.310195274908404e-01 1.895074592642420e+00
7.500000000000000e-01 2.697026654178099e-02 1.138138100003089e-01 8.040595201124511e-01 3.379332452170457e-02 1.881266910403795e-01 1.528659763106355e+00 4.293037378236016e-02 2.404577428100671e-01 1.895057916442420e+00
1.000000000000000e+00 2.693142538148157e-02 1.123673463178220e-01 8.040036457124511e-01 3.377826209961562e-02 1.844972108744412e-01 1.528518423706355e+00 4.292909791946032e-02 2.367785564390100e-01 1.894968549742420e+00
1.500000000000000e+00 2.613941041050257e-02 1.070059321793878e-01 8.033439239124510e-01 3.153414095158207e-02 1.698395407639913e-01 1.526847149206355e+00 4.030131579744655e-02 2.205026933735455e-01 1.893911068642420e+00
