beta,status,reason,solution_time,variable,L1,L2,Linf,TV,undershoot,overshoot
1.0,completed,completed,0.15,rho,0.00539341248687284,0.009339741753152067,0.05298328533903174,1.969406406,0.006555314682864232,0.0
1.0,completed,completed,0.15,u,0.016903674518224707,0.02747721931431107,0.1160426972,3.9999999856,0.0,0.0
1.0,completed,completed,0.15,p,0.0025315639464585818,0.004858856346712734,0.029296238149576104,0.7934473682,0.0,0.0
1.5,completed,completed,0.15,rho,0.005402653422590087,0.010363835812317654,0.05978779873903173,1.9641327706,0.0039185766828642304,0.0
1.5,completed,completed,0.15,u,0.02170104137017119,0.036285208983031315,0.1321771945,3.9999998663,0.0,0.0
1.5,completed,completed,0.15,p,0.0029474892916357795,0.005603454499642769,0.03300960134957609,0.7914843524,0.0,0.0
