variable,metric,value,viscosity,sensor,beta,cfl,nx,mode,run_id,case_name
rho,L1,0.002970294024390221,on,p,0.25,0.2,1001,1,run_0028,visc_on_sensor_p_beta_0p25_cfl_0p2_nx_1001_mode_1
rho,L2,0.014598429871598406,on,p,0.25,0.2,1001,1,run_0028,visc_on_sensor_p_beta_0p25_cfl_0p2_nx_1001_mode_1
rho,Linf,0.09488223195761686,on,rho,1.5,0.2,101,1,run_0145,visc_on_sensor_rho_beta_1p5_cfl_0p2_nx_101_mode_1
u,L1,0.00958201518993983,on,p,0.25,0.2,1001,1,run_0028,visc_on_sensor_p_beta_0p25_cfl_0p2_nx_1001_mode_1
u,L2,0.07315938348420564,on,rho,1.5,0.2,101,1,run_0145,visc_on_sensor_rho_beta_1p5_cfl_0p2_nx_101_mode_1
u,Linf,0.5468114979092029,on,rho,1.5,0.2,101,1,run_0145,visc_on_sensor_rho_beta_1p5_cfl_0p2_nx_101_mode_1
p,L1,0.0026350223191939377,on,p,0.25,0.2,1001,1,run_0028,visc_on_sensor_p_beta_0p25_cfl_0p2_nx_1001_mode_1
p,L2,0.019048059935770256,on,p,0.25,0.2,1001,1,run_0028,visc_on_sensor_p_beta_0p25_cfl_0p2_nx_1001_mode_1
p,Linf,0.14158000099305038,on,rho,1.5,0.2,101,1,run_0145,visc_on_sensor_rho_beta_1p5_cfl_0p2_nx_101_mode_1
