TITLE = "Artificial-viscosity beta sweep metrics"
VARIABLES = "beta", "L1", "L2", "Linf", "TV", "undershoot", "overshoot"
ZONE T="rho", I=6, F=POINT
0.000000000000000e+00 8.252312125432322e-03 3.470812217522247e-02 3.737347642829972e-01 4.706909061799999e+00 0.000000000000000e+00 2.370235649412449e-01
2.500000000000000e-01 8.653349169943520e-03 4.750215764098335e-02 4.347199439829973e-01 1.684707349800000e+00 0.000000000000000e+00 5.142513264124493e-02
5.000000000000000e-01 1.050757141671053e-02 5.256368987654727e-02 4.361526729829973e-01 1.540349105399999e+00 0.000000000000000e+00 1.712599344124488e-02
7.500000000000000e-01 1.129251624527957e-02 5.376634865009058e-02 4.303786248829973e-01 1.502867408200000e+00 0.000000000000000e+00 5.571656241244893e-03
1.000000000000000e+00 1.173937750374961e-02 5.408200515935448e-02 4.262740180829973e-01 1.492415569000000e+00 0.000000000000000e+00 3.182516841244931e-03
1.500000000000000e+00 1.245590176455770e-02 5.476665084632341e-02 4.203770801829972e-01 1.488331772200000e+00 0.000000000000000e+00 2.854764041244851e-03
ZONE T="u", I=6, F=POINT
0.000000000000000e+00 5.094127487807649e-03 2.283513706553434e-02 2.872610442622637e-01 2.818490004800000e+00 0.000000000000000e+00 0.000000000000000e+00
2.500000000000000e-01 5.668819849890385e-03 4.288861904652127e-02 4.929869961377363e-01 1.322938435200000e+00 0.000000000000000e+00 0.000000000000000e+00
5.000000000000000e-01 6.922352009384716e-03 5.017774345925861e-02 5.302812453377362e-01 1.103884275000000e+00 0.000000000000000e+00 0.000000000000000e+00
7.500000000000000e-01 7.117667315135661e-03 5.106882444619925e-02 5.329123798377362e-01 1.039087088400000e+00 0.000000000000000e+00 0.000000000000000e+00
1.000000000000000e+00 6.939868492331880e-03 4.960418335090222e-02 5.259541843377362e-01 1.014528709000000e+00 0.000000000000000e+00 0.000000000000000e+00
1.500000000000000e+00 6.424418531331880e-03 4.522880041562345e-02 4.984695703377363e-01 1.001535165200000e+00 0.000000000000000e+00 0.000000000000000e+00
ZONE T="p", I=6, F=POINT
0.000000000000000e+00 7.035611608037691e-03 3.206554448031292e-02 4.349277831801450e-01 3.807437827600000e+00 0.000000000000000e+00 1.963806785198550e-01
2.500000000000000e-01 7.198469451574489e-03 5.353461837289547e-02 5.994170734801449e-01 1.549908537800000e+00 0.000000000000000e+00 7.494521221985506e-02
5.000000000000000e-01 8.577550524692175e-03 6.053527838429064e-02 5.999013376801450e-01 1.249866940400001e+00 0.000000000000000e+00 3.510584301985498e-02
7.500000000000000e-01 8.739103875771592e-03 6.056532548640304e-02 5.929803908801450e-01 1.165405975999999e+00 0.000000000000000e+00 1.771088941985499e-02
1.000000000000000e+00 8.508846278251011e-03 5.846766724049392e-02 5.822515096801449e-01 1.136371029800001e+00 0.000000000000000e+00 7.942886319854958e-03
1.500000000000000e+00 7.944466578012749e-03 5.382300357494058e-02 5.591880477801450e-01 1.122180698400000e+00 0.000000000000000e+00 1.478563319855075e-03
