TITLE = "Artificial-viscosity beta sweep metrics"
VARIABLES = "beta", "L1", "L2", "Linf", "TV", "undershoot", "overshoot"
ZONE T="rho", I=4, F=POINT
5.000000000000000e-01 1.656325591533953e-03 2.629560235849448e-03 8.544744306232865e-03 5.839082635999998e-01 1.256897412307001e-03 2.819387335560197e-03
7.500000000000000e-01 2.173417760833953e-03 3.291238066045568e-03 1.091788420623291e-02 5.899656377000000e-01 5.319427012306976e-03 2.282814135560196e-03
1.000000000000000e+00 2.641771230478551e-03 3.970340929822252e-03 1.296889240623289e-02 5.921459450000001e-01 6.701733312307001e-03 1.974914835560226e-03
1.500000000000000e+00 3.436641621273917e-03 5.091666130904529e-03 1.589432980623290e-02 5.942068355000000e-01 7.970503712307009e-03 1.714157135560224e-03
ZONE T="u", I=4, F=POINT
5.000000000000000e-01 6.557940016681053e-03 1.100992413037228e-02 4.197866948876071e-02 2.290585283800000e+00 0.000000000000000e+00 9.688523255427128e-03
7.500000000000000e-01 8.137979427581052e-03 1.377897925175106e-02 5.351863168876071e-02 2.281923312500000e+00 0.000000000000000e+00 7.758181055427027e-03
1.000000000000000e+00 9.876437159481052e-03 1.677234058370375e-02 6.345097628876070e-02 2.280104855600000e+00 0.000000000000000e+00 6.692014655427014e-03
1.500000000000000e+00 1.290392829808105e-02 2.175258654075749e-02 7.755697558876071e-02 2.278840936200000e+00 0.000000000000000e+00 5.998486555427007e-03
ZONE T="p", I=4, F=POINT
5.000000000000000e-01 6.834567370489685e-03 1.122252221390654e-02 3.325252746737206e-02 2.539226416400000e+00 1.315810122856975e-03 1.370697190454484e-02
7.500000000000000e-01 8.180671525992556e-03 1.321614517881729e-02 4.254215526737215e-02 2.530252448800000e+00 0.000000000000000e+00 1.110895130454503e-02
1.000000000000000e+00 9.752463898092556e-03 1.565427182357170e-02 5.058994666737204e-02 2.527407906700000e+00 0.000000000000000e+00 9.609654604544993e-03
1.500000000000000e+00 1.256461515219255e-02 1.995556002479190e-02 6.210349966737194e-02 2.525183440400000e+00 0.000000000000000e+00 8.377884804545044e-03
