TITLE = "Error versus beta grouped by sensor"
VARIABLES = "beta", "rho_L1", "rho_L2", "rho_Linf", "u_L1", "u_L2", "u_Linf", "p_L1", "p_L2", "p_Linf"
ZONE T="rho", I=5, F=POINT
5.000000000000000e-01 1.656325591533953e-03 2.629560235849448e-03 8.544744306232865e-03 6.557940016681053e-03 1.100992413037228e-02 4.197866948876071e-02 6.834567370489685e-03 1.122252221390654e-02 3.325252746737206e-02
1.000000000000000e+00 2.641771230478551e-03 3.970340929822252e-03 1.296889240623289e-02 9.876437159481052e-03 1.677234058370375e-02 6.345097628876070e-02 9.752463898092556e-03 1.565427182357170e-02 5.058994666737204e-02
1.500000000000000e+00 3.436641621273917e-03 5.091666130904529e-03 1.589432980623290e-02 1.290392829808105e-02 2.175258654075749e-02 7.755697558876071e-02 1.256461515219255e-02 1.995556002479190e-02 6.210349966737194e-02
2.000000000000000e+00 4.106167028523144e-03 6.009634959670190e-03 1.811004110623288e-02 1.547136759428105e-02 2.582061599582836e-02 8.819383628876069e-02 1.498760871299256e-02 2.358286909998947e-02 7.085107626737197e-02
3.000000000000000e+00 5.197852278673918e-03 7.462118013843577e-03 2.138691900623291e-02 1.967331865708105e-02 3.222704719031662e-02 1.038547547887607e-01 1.900408785639255e-02 2.943463580916976e-02 8.383385826737211e-02
ZONE T="p", I=5, F=POINT
5.000000000000000e-01 1.697628731029321e-03 2.639103592508028e-03 8.301176706232871e-03 6.652110260481054e-03 1.098490187656327e-02 4.079812908876071e-02 6.952281468595389e-03 1.125904643038922e-02 3.230588526737210e-02
1.000000000000000e+00 2.843526065423146e-03 4.291610980179363e-03 1.341116920623286e-02 1.043747860838105e-02 1.763145884976434e-02 6.559450718876070e-02 1.030242169919255e-02 1.642693911271082e-02 5.233270576737215e-02
1.500000000000000e+00 3.755103757469284e-03 5.566709530155767e-03 1.645548100623290e-02 1.377125706738105e-02 2.300939904596865e-02 8.026243268876070e-02 1.343685883929255e-02 2.116186433595221e-02 6.432226906737215e-02
2.000000000000000e+00 4.530076866469284e-03 6.606967085456994e-03 1.876294000623291e-02 1.661631814128105e-02 2.742761125107553e-02 9.132950238876070e-02 1.615332936959255e-02 2.517057445398724e-02 7.343949226737201e-02
3.000000000000000e+00 5.800852858223147e-03 8.274478344751599e-03 2.234410100623291e-02 2.118882704988105e-02 3.441625862986633e-02 1.084203222887607e-01 2.050344490329255e-02 3.154418806522818e-02 8.763996306737210e-02
