run_id,case_name,case,viscosity,sensor,beta,cfl,nx,mode,t_max,status,reason,solution_time
run_0060,visc_on_sensor_u_beta_0p5_cfl_0p8_nx_1001_mode_1,5,on,u,0.5,0.8,1001,1,0.2,completed,completed,0.2
run_0061,visc_on_sensor_p_beta_0p5_cfl_0p2_nx_101_mode_1,5,on,p,0.5,0.2,101,1,0.2,completed,completed,0.2
run_0062,visc_on_sensor_p_beta_0p5_cfl_0p2_nx_201_mode_1,5,on,p,0.5,0.2,201,1,0.2,completed,completed,0.2
run_0063,visc_on_sensor_p_beta_0p5_cfl_0p2_nx_501_mode_1,5,on,p,0.5,0.2,501,1,0.2,completed,completed,0.2
run_0064,visc_on_sensor_p_beta_0p5_cfl_0p2_nx_1001_mode_1,5,on,p,0.5,0.2,1001,1,0.2,completed,completed,0.2
run_0065,visc_on_sensor_p_beta_0p5_cfl_0p5_nx_101_mode_1,5,on,p,0.5,0.5,101,1,0.2,completed,completed,0.2
run_0066,visc_on_sensor_p_beta_0p5_cfl_0p5_nx_201_mode_1,5,on,p,0.5,0.5,201,1,0.2,completed,completed,0.2
run_0067,visc_on_sensor_p_beta_0p5_cfl_0p5_nx_501_mode_1,5,on,p,0.5,0.5,501,1,0.2,completed,completed,0.2
run_0068,visc_on_sensor_p_beta_0p5_cfl_0p5_nx_1001_mode_1,5,on,p,0.5,0.5,1001,1,0.2,completed,completed,0.2
run_0069,visc_on_sensor_p_beta_0p5_cfl_0p8_nx_101_mode_1,5,on,p,0.5,0.8,101,1,0.2,completed,completed,0.2
run_0070,visc_on_sensor_p_beta_0p5_cfl_0p8_nx_201_mode_1,5,on,p,0.5,0.8,201,1,0.2,completed,completed,0.2
run_0071,visc_on_sensor_p_beta_0p5_cfl_0p8_nx_501_mode_1,5,on,p,0.5,0.8,501,1,0.2,completed,completed,0.2
run_0072,visc_on_sensor_p_beta_0p5_cfl_0p8_nx_1001_mode_1,5,on,p,0.5,0.8,1001,1,0.2,completed,completed,0.2
run_0073,visc_on_sensor_rho_beta_0p75_cfl_0p2_nx_101_mode_1,5,on,rho,0.75,0.2,101,1,0.2,completed,completed,0.2
run_0074,visc_on_sensor_rho_beta_0p75_cfl_0p2_nx_201_mode_1,5,on,rho,0.75,0.2,201,1,0.2,completed,completed,0.2
run_0075,visc_on_sensor_rho_beta_0p75_cfl_0p2_nx_501_mode_1,5,on,rho,0.75,0.2,501,1,0.2,completed,completed,0.2
run_0076,visc_on_sensor_rho_beta_0p75_cfl_0p2_nx_1001_mode_1,5,on,rho,0.75,0.2,1001,1,0.2,completed,completed,0.2
run_0077,visc_on_sensor_rho_beta_0p75_cfl_0p5_nx_101_mode_1,5,on,rho,0.75,0.5,101,1,0.2,completed,completed,0.2
run_0078,visc_on_sensor_rho_beta_0p75_cfl_0p5_nx_201_mode_1,5,on,rho,0.75,0.5,201,1,0.2,completed,completed,0.2
run_0079,visc_on_sensor_rho_beta_0p75_cfl_0p5_nx_501_mode_1,5,on,rho,0.75,0.5,501,1,0.2,completed,completed,0.2
run_0080,visc_on_sensor_rho_beta_0p75_cfl_0p5_nx_1001_mode_1,5,on,rho,0.75,0.5,1001,1,0.2,completed,completed,0.2
run_0081,visc_on_sensor_rho_beta_0p75_cfl_0p8_nx_101_mode_1,5,on,rho,0.75,0.8,101,1,0.2,completed,completed,0.2
run_0082,visc_on_sensor_rho_beta_0p75_cfl_0p8_nx_201_mode_1,5,on,rho,0.75,0.8,201,1,0.2,completed,completed,0.2
run_0083,visc_on_sensor_rho_beta_0p75_cfl_0p8_nx_501_mode_1,5,on,rho,0.75,0.8,501,1,0.2,completed,completed,0.2
run_0084,visc_on_sensor_rho_beta_0p75_cfl_0p8_nx_1001_mode_1,5,on,rho,0.75,0.8,1001,1,0.2,completed,completed,0.2
run_0085,visc_on_sensor_u_beta_0p75_cfl_0p2_nx_101_mode_1,5,on,u,0.75,0.2,101,1,0.2,completed,completed,0.2
