TITLE = "Error versus beta grouped by sensor"
VARIABLES = "beta", "rho_L1", "rho_L2", "rho_Linf", "u_L1", "u_L2", "u_Linf", "p_L1", "p_L2", "p_Linf"
ZONE T="rho", I=4, F=POINT
5.000000000000000e-01 1.656325591533953e-03 2.629560235849448e-03 8.544744306232865e-03 6.557940016681053e-03 1.100992413037228e-02 4.197866948876071e-02 6.834567370489685e-03 1.122252221390654e-02 3.325252746737206e-02
7.500000000000000e-01 2.173417760833953e-03 3.291238066045568e-03 1.091788420623291e-02 8.137979427581052e-03 1.377897925175106e-02 5.351863168876071e-02 8.180671525992556e-03 1.321614517881729e-02 4.254215526737215e-02
1.000000000000000e+00 2.641771230478551e-03 3.970340929822252e-03 1.296889240623289e-02 9.876437159481052e-03 1.677234058370375e-02 6.345097628876070e-02 9.752463898092556e-03 1.565427182357170e-02 5.058994666737204e-02
1.500000000000000e+00 3.436641621273917e-03 5.091666130904529e-03 1.589432980623290e-02 1.290392829808105e-02 2.175258654075749e-02 7.755697558876071e-02 1.256461515219255e-02 1.995556002479190e-02 6.210349966737194e-02
ZONE T="u", I=4, F=POINT
5.000000000000000e-01 1.704326977730866e-03 2.651862914349116e-03 8.322852212306997e-03 6.122594014881053e-03 1.026041659134179e-02 3.992277008876071e-02 6.375229662869669e-03 1.050165118856367e-02 3.160517756737202e-02
7.500000000000000e-01 2.152708815341675e-03 3.397418038300481e-03 1.286099501230697e-02 7.490392753081053e-03 1.279587545403377e-02 5.155315318876071e-02 7.529528252592552e-03 1.229141547136758e-02 4.095654316737196e-02
1.000000000000000e+00 2.431916386786270e-03 3.943323352830388e-03 1.715491261230701e-02 8.269969014781052e-03 1.433705812108414e-02 5.798821398876070e-02 8.148321700992549e-03 1.335476026471277e-02 4.615961036737204e-02
1.500000000000000e+00 2.956770638130866e-03 4.919406836173510e-03 2.334286431230698e-02 9.656614896481053e-03 1.688953911690171e-02 6.689004568876070e-02 9.320136091692553e-03 1.531329866034618e-02 5.339143556737214e-02
ZONE T="p", I=4, F=POINT
5.000000000000000e-01 1.697628731029321e-03 2.639103592508028e-03 8.301176706232871e-03 6.652110260481054e-03 1.098490187656327e-02 4.079812908876071e-02 6.952281468595389e-03 1.125904643038922e-02 3.230588526737210e-02
7.500000000000000e-01 2.301976929078550e-03 3.487850944471497e-03 1.129098290623287e-02 8.541541271281055e-03 1.439950575331862e-02 5.533355788876071e-02 8.570233999092548e-03 1.374216748568689e-02 4.400878126737195e-02
1.000000000000000e+00 2.843526065423146e-03 4.291610980179363e-03 1.341116920623286e-02 1.043747860838105e-02 1.763145884976434e-02 6.559450718876070e-02 1.030242169919255e-02 1.642693911271082e-02 5.233270576737215e-02
1.500000000000000e+00 3.755103757469284e-03 5.566709530155767e-03 1.645548100623290e-02 1.377125706738105e-02 2.300939904596865e-02 8.026243268876070e-02 1.343685883929255e-02 2.116186433595221e-02 6.432226906737215e-02
