TITLE = "Artificial-viscosity beta sweep metrics"
VARIABLES = "beta", "L1", "L2", "Linf", "TV", "undershoot", "overshoot"
ZONE T="rho", I=4, F=POINT
5.000000000000000e-01 4.117286450549923e-03 1.626706337434118e-02 1.405009544192900e-01 9.077182586000001e-01 0.000000000000000e+00 0.000000000000000e+00
7.500000000000000e-01 4.599238396551164e-03 1.730164252674465e-02 1.405211017192900e-01 8.901549712000000e-01 0.000000000000000e+00 0.000000000000000e+00
1.000000000000000e+00 4.906313642029743e-03 1.768589283901105e-02 1.404999071192900e-01 8.833731748000001e-01 0.000000000000000e+00 0.000000000000000e+00
1.500000000000000e+00 5.286208837945915e-03 1.766629322189003e-02 1.403472687192900e-01 8.773635482000000e-01 0.000000000000000e+00 0.000000000000000e+00
ZONE T="u", I=4, F=POINT
5.000000000000000e-01 1.160387902481544e-02 8.886584927178441e-02 9.268365039092029e-01 2.000056462399999e+00 0.000000000000000e+00 5.820708669079699e-02
7.500000000000000e-01 1.331128995515082e-02 9.571396946835552e-02 9.270071168092030e-01 1.919921938400000e+00 0.000000000000000e+00 2.875200679079704e-02
1.000000000000000e+00 1.395960539515236e-02 9.746014707116647e-02 9.268276250092030e-01 1.887998986800000e+00 0.000000000000000e+00 1.509742279079707e-02
1.500000000000000e+00 1.409046016039070e-02 9.495376719880914e-02 9.255349509092030e-01 1.859787232400000e+00 0.000000000000000e+00 1.852077990797008e-03
ZONE T="p", I=4, F=POINT
5.000000000000000e-01 3.580555113696819e-03 2.035825436345585e-02 2.030486412930504e-01 9.518601709999998e-01 0.000000000000000e+00 0.000000000000000e+00
7.500000000000000e-01 4.061621398284452e-03 2.194266130304803e-02 2.030712247930504e-01 9.240706620000002e-01 0.000000000000000e+00 0.000000000000000e+00
1.000000000000000e+00 4.333806824451354e-03 2.244897133771580e-02 2.030474673930504e-01 9.131504172000002e-01 0.000000000000000e+00 0.000000000000000e+00
1.500000000000000e+00 4.633954512666562e-03 2.218824607636608e-02 2.028762317930504e-01 9.036075971999999e-01 0.000000000000000e+00 0.000000000000000e+00
